sampled_medoids	sampled_rap	sampled_nonrap	rap_fraction	multi_families	pure_rap_families	mixed_families	pure_nonrap_families	medoids_in_multi	within_family_pairs	rap_rap_pairs	rap_nonrap_pairs	nonrap_nonrap_pairs	expected_rap_rap_pairs_random	rap_rap_enrichment	rap_neighbor_homophily	homophily_lift_over_pool	target_rap_size	replicate	seed	alpha	threshold
655	100	555	0.15267175572519084	132	9	5	118	308	231	9	7	215	5.338609146298761	1.685832349468713	0.72	4.715999999999999	100	78	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	9	8	117	312	235	9	11	215	5.431052594719518	1.657137330754352	0.6206896551724138	4.06551724137931	100	79	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	12	5	117	314	238	13	8	217	5.500385181035087	2.3634708428826072	0.7647058823529411	5.008823529411764	100	80	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	11	5	117	314	250	15	13	222	5.77771552629736	2.596181818181818	0.6976744186046512	4.569767441860465	100	81	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	12	5	118	313	236	12	9	215	5.454163456824708	2.2001540832049304	0.7272727272727273	4.763636363636364	100	82	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	14	3	118	318	247	21	4	222	5.708382939981791	3.6788001472212	0.9130434782608695	5.980434782608695	100	83	20260905	0.1	0.8
655	100	555	0.15267175572519084	138	13	6	119	318	233	13	7	213	5.3848308705091394	2.4141891013135646	0.7878787878787878	5.16060606060606	100	84	20260905	0.1	0.8
655	100	555	0.15267175572519084	138	13	5	120	320	238	17	10	211	5.500385181035087	3.0906926406926405	0.7727272727272727	5.0613636363636365	100	85	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	13	6	116	317	242	16	11	215	5.592828629455845	2.860806411219634	0.7441860465116279	4.874418604651162	100	86	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	11	4	119	311	234	11	4	219	5.407941732614329	2.0340455840455838	0.8461538461538461	5.542307692307692	100	87	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	13	4	118	314	236	16	6	214	5.454163456824708	2.9335387776065738	0.8421052631578947	5.51578947368421	100	88	20260905	0.1	0.8
655	100	555	0.15267175572519084	138	16	3	119	321	241	19	8	214	5.569717767350655	3.411303910474035	0.8260869565217391	5.410869565217391	100	89	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	12	7	118	317	236	12	10	214	5.454163456824708	2.2001540832049304	0.7058823529411765	4.623529411764706	100	90	20260905	0.1	0.8
655	100	555	0.15267175572519084	140	16	7	117	324	241	18	8	215	5.569717767350655	3.2317615993964544	0.8181818181818182	5.359090909090909	100	91	20260905	0.1	0.8
655	100	555	0.15267175572519084	131	10	3	118	308	239	12	4	223	5.523496043140276	2.172537086344618	0.8571428571428571	5.614285714285714	100	92	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	10	6	117	311	234	12	8	214	5.407941732614329	2.2189588189588187	0.75	4.9125	100	93	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	12	5	118	314	236	14	6	216	5.454163456824708	2.5668464304057523	0.8235294117647058	5.394117647058823	100	94	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	12	3	120	313	235	14	3	218	5.431052594719518	2.5777691811734362	0.9032258064516129	5.916129032258064	100	95	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	11	6	117	316	244	18	9	217	5.6390503536662235	3.192026825633383	0.8	5.24	100	96	20260905	0.1	0.8
